device_id,bytes_written,timestamp
USB082,3030,2025-06-01T06:38:11.046Z
USB069,3395,2025-06-01T03:57:12.482Z
USB093,6753,2025-06-01T19:03:51.667Z
USB106,6624,2025-06-01T04:42:07.543Z
USB045,6433,2025-06-01T17:04:32.756Z
USB092,7446,2025-06-01T20:56:53.164Z
USB140,7726,2025-06-01T00:45:19.653Z
USB093,5210,2025-06-01T09:18:05.396Z
USB013,5545,2025-06-01T07:18:08.066Z
USB045,3709,2025-06-01T18:06:05.572Z
USB194,4973,2025-06-01T21:14:21.451Z
USB006,4807,2025-06-01T07:09:20.763Z
USB026,3054,2025-06-01T10:01:38.244Z
USB065,4201,2025-06-01T16:38:59.619Z
USB081,4442,2025-06-01T09:37:06.196Z
USB003,4021,2025-06-01T01:08:23.747Z
USB119,7829,2025-06-01T00:20:45.454Z
USB085,5525,2025-06-01T22:03:34.422Z
USB172,4517,2025-06-01T22:40:08.434Z
USB198,3334,2025-06-01T22:29:31.871Z
USB035,1530,2025-06-01T21:04:58.325Z
USB094,2753,2025-06-01T12:16:04.611Z
USB023,6268,2025-06-01T21:23:52.932Z
USB188,3216,2025-06-01T00:39:53.203Z
USB020,5736,2025-06-01T12:17:33.914Z
USB075,4249,2025-06-01T10:16:42.811Z
USB075,3813,2025-06-01T10:39:24.030Z
USB104,5432,2025-06-01T04:33:56.484Z
USB058,4347,2025-06-01T16:35:59.745Z
USB151,5373,2025-06-01T14:26:35.059Z
USB061,6733,2025-06-01T03:07:11.802Z
USB049,5135,2025-06-01T00:52:57.159Z
USB103,4467,2025-06-01T17:03:35.412Z
USB017,1158,2025-06-01T10:59:39.121Z
USB093,5316,2025-06-01T04:47:28.440Z
USB188,5943,2025-06-01T01:51:49.915Z
USB039,6395,2025-06-01T12:55:08.389Z
USB164,4963,2025-06-01T22:47:40.321Z
USB113,5368,2025-06-01T23:03:49.565Z
USB156,4538,2025-06-01T19:07:28.677Z
USB085,5449,2025-06-01T20:54:33.529Z
USB066,4158,2025-06-01T02:47:32.941Z
USB130,7772,2025-06-01T15:07:52.356Z
USB164,6590,2025-06-01T08:45:52.436Z
USB139,3364,2025-06-01T08:29:19.846Z
